995,2,59,13,13,13,13,13,8
985,2,59,13,13,13,13,13,8
975,2,59,13,13,13,13,13,8
965,36,82,2,59,2,59,128,13,13,13,13,8
955,220,2,59,36,220,13,13,13,13,8
945,2,59,13,13,13,13,13,8
935,2,59,13,13,13,13,13,8
925,2,59,13,13,13,13,13,8
915,2,59,13,13,13,13,13,8
905,36,2,59,105,82,13,13,13,13,8
895,105,2,59,2,59,13,13,13,13,8
885,36,2,59,128,128,13,13,13,13,8
875,2,59,13,13,13,13,13,8
865,2,59,13,13,13,13,13,8
855,2,59,13,13,13,13,13,8
845,2,59,13,13,13,13,13,8
835,128,2,59,220,105,13,13,13,13,8
825,2,59,13,13,13,13,13,8
815,2,59,13,13,13,13,13,8
805,2,59,13,13,13,13,13,8
795,2,59,13,13,13,13,13,8
785,2,59,13,13,13,13,13,8
775,2,59,13,13,13,13,13,8
765,82,2,59,13,82,13,13,13,13,8
755,36,2,59,128,13,13,13,13,8
745,2,59,13,13,13,13,13,8
735,2,59,13,13,13,13,13,8
725,2,59,13,13,13,13,13,8
715,2,59,13,13,13,13,13,8
705,2,59,13,13,13,13,13,8
695,151,2,59,36,36,13,13,13,13,8
685,2,59,13,13,13,13,13,8
675,2,59,13,13,13,13,13,8
665,2,59,13,13,13,13,13,8
655,2,59,13,13,13,13,13,8
645,2,59,13,13,13,13,13,8
635,105,2,59,36,13,13,13,13,8
625,2,59,2,59,174,128,13,13,13,13,8
615,82,2,59,13,151,13,13,13,13,8
605,2,59,13,13,13,13,13,8
1585,36,2,59,174,105,13,13,13,13,8
1575,197,2,59,197,105,13,13,13,13,8
1565,2,59,13,13,13,13,13,8
1555,2,59,13,13,13,13,13,8
1545,2,59,13,13,13,13,13,8
1535,2,59,13,13,13,13,13,8
1525,36,2,59,13,197,13,13,13,13,8
1515,2,59,2,59,105,82,13,13,13,13,8
1505,36,2,59,174,151,13,13,13,13,8
1495,2,59,13,13,13,13,13,8
1485,2,59,13,13,13,13,13,8
1475,2,59,13,13,13,13,13,8
1465,2,59,13,13,13,13,13,8
1455,2,59,13,13,13,13,13,8
1445,2,59,2,59,128,197,13,13,13,13,8
1435,82,2,59,2,59,197,13,13,13,13,8
1425,2,59,13,13,13,13,13,8
1415,2,59,13,13,13,13,13,8
1405,2,59,13,13,13,13,13,8
1395,2,59,13,13,13,13,13,8
1385,36,2,59,2,59,128,13,13,13,13,8
1375,82,2,59,220,36,13,13,13,13,8
1365,36,2,59,82,105,13,13,13,13,8
1355,2,59,13,13,13,13,13,8
1345,2,59,13,13,13,13,13,8
1335,2,59,13,13,13,13,13,8
1325,2,59,13,13,13,13,13,8
1315,36,2,59,174,128,13,13,13,13,8
1305,2,59,2,59,13,197,13,13,13,13,8
1295,2,59,13,13,13,13,13,8
1285,2,59,13,13,13,13,13,8
1275,2,59,13,13,13,13,13,8
1265,2,59,13,13,13,13,13,8
1255,2,59,13,13,13,13,13,8
1245,36,105,2,59,82,128,13,13,13,13,8
1235,220,2,59,220,82,13,13,13,13,8
1225,2,59,13,13,13,13,13,8
1215,2,59,13,13,13,13,13,8
1205,2,59,13,13,13,13,13,8
1195,2,59,13,13,13,13,13,8
1185,36,174,2,59,36,105,13,13,13,13,8
1175,151,220,2,59,36,128,13,13,13,13,8
1165,36,36,2,59,105,36,13,13,13,13,8
1155,2,59,13,13,13,13,13,8
1145,2,59,13,13,13,13,13,8
1135,2,59,13,13,13,13,13,8
1125,2,59,13,13,13,13,13,8
1115,36,36,2,59,151,13,13,13,13,8
1105,197,2,59,13,128,13,13,13,13,8
1095,2,59,13,13,13,13,13,8
1085,2,59,13,13,13,13,13,8
1075,2,59,13,13,13,13,13,8
1065,2,59,13,13,13,13,13,8
1055,2,59,13,13,13,13,13,8
1045,2,59,13,13,13,13,13,8
1035,105,2,59,151,128,13,13,13,13,8
1025,2,59,13,13,13,13,13,8
1015,2,59,13,13,13,13,13,8
1005,2,59,13,13,13,13,13,8
